word,"meaning"
underlying,"used to identify the idea, cause, problem, etc., that forms the basis of something"
unify,to join together to form one group
viable,capable of working or being successful
visual,related to seeing or to the eyes
accommodate,"to make room for something or someone, or to adjust to fit a need or condition"
append,to add something at the end of a document or piece of writing
compatible,able to exist or work together without problems
compensate,to make up for something that is missing or not enough; to pay money for a service
confine,to keep something or someone within limits; to restrict
contract,to get smaller
convert,to change something into a different form or so it can be used in a different way
debate,to express an opinion with someone who often holds the opposite opinion
define,to explain the meaning of a word or concept
designate,to choose someone or something for a special purpose
dimension,"a measurable extent such as length, width, or height"
disclose,to make information known or to reveal something that was previously hidden or unknown
document,to record details about something or someone
eliminate,to remove or get rid of something
entity,"something that exists independently, such as a company or an organism"
evolve,"to change or develop slowly, often into a better or more complex form"
finite,having an end or limit; not infinite
grant,"to give or allow someone something, usually in an official way"
insert,to put something into something else
layer,a level of material or substance that is above or below another
levy,"to impose (a tax, fee, or fine)"
negate,to deny or make ineffective
respond,to answer or reply to something
restrain,to answer or reply to something
retrieve,to get or bring something back from somewhere
saturate,"to completely fill, soak, or cover something with a large amount of something"
scheme,a plan or program of action; especially a crafty or secret one
specify,to state or describe in detail
warrant,"to justify or necessitate (a certain course of action), or a document that gives an official"
,instruction or right
yield,"to produce or provide something, like a plant producing fruit or an investment making money."
,"Also means to give way to arguments, demands, or pressure"
accessible,easy to reach or understand
achieve,to reach a goal or complete something successfully
assign,to give a task or responsibility to someone
classical,"related to the culture of ancient Greece and Rome, or traditional and long-established in form or"
,style
coincide,to happen at the same time or place
comprehend,to understand something
convince,to make someone believe or agree to something
cumulative,increasing or growing by accumulation or successive additions
discreet,careful in one's speech or actions in order to avoid causing offense or to gain an advantage
equilibrium,a state of balance
in conjunction,together with; alongside
incline,to lean towards a particular opinion or action; a slope
journal,an academic magazine that deals with a particular subject
label,to attach a name or description to something
liberal,open to new ideas and willing to discard traditional values
likewise,"in the same way, also"
link,to connect two things or ideas; a connection
monitor,to watch and check something over a period of time
neutral,not supporting either side in a conflict or disagreement
norms,standards or rules about what behavior is acceptable in a group or society
outcome,the result or effect of an action or event
overlap,to extend over and cover a part of; to have elements in common
project,to predict or estimate; to send something out
proportional,"having a size, number, or amount that is directly related to another"
trace,to find the origin or cause of something
transcend,to go beyond the usual limits of something
undergo,to experience or endure something
unique,being the only one of its kind; unlike anything else
utility,the state of being useful or beneficial
via,by way of; through
